name,url,country
Shahjahan Noori,https://en.wikipedia.org/wiki/Shahjahan_Noori,Afghanistan
Abdul Ghafar Lakanwal,https://en.wikipedia.org/wiki/Abdul_Ghafar_Lakanwal,Afghanistan
Majah Ha Adrif,https://en.wikipedia.org/wiki/Majah_Ha_Adrif,Afghanistan
Haroon al-Afghani,https://en.wikipedia.org/wiki/Haroon_al-Afghani,Afghanistan
Tayyab Agha,https://en.wikipedia.org/wiki/Tayyab_Agha,Afghanistan
Ahmadullah Wasiq,https://en.wikipedia.org/wiki/Ahmadullah_Wasiq,Afghanistan
Aziza Ahmadyar,https://en.wikipedia.org/wiki/Aziza_Ahmadyar,Afghanistan
Muqadasa Ahmadzai,https://en.wikipedia.org/wiki/Muqadasa_Ahmadzai,Afghanistan
Mohammad Sarwar Ahmedzai,https://en.wikipedia.org/wiki/Mohammad_Sarwar_Ahmedzai,Afghanistan
Amir Muhammad Akhundzada,https://en.wikipedia.org/wiki/Amir_Muhammad_Akhundzada,Afghanistan
Nasrullah Baryalai Arsalai,https://en.wikipedia.org/wiki/Nasrullah_Baryalai_Arsalai,Afghanistan
Mohammad Asim Asim,https://en.wikipedia.org/wiki/Mohammad_Asim_Asim,Afghanistan
Atiqullah Atifmal,https://en.wikipedia.org/wiki/Atiqullah_Atifmal,Afghanistan
Abdul Rahim Ayoubi,https://en.wikipedia.org/wiki/Abdul_Rahim_Ayoubi,Afghanistan
Alhaj Mutalib Baig,https://en.wikipedia.org/wiki/Alhaj_Mutalib_Baig,Afghanistan
Ismael Balkhi,https://en.wikipedia.org/wiki/Ismael_Balkhi,Afghanistan
Abdul Baqi Turkistani,https://en.wikipedia.org/wiki/Abdul_Baqi_Turkistani,Afghanistan
Mohammad Ghous Bashiri,https://en.wikipedia.org/wiki/Mohammad_Ghous_Bashiri,Afghanistan
Abas Basir,https://en.wikipedia.org/wiki/Abas_Basir,Afghanistan
Jan Baz,https://en.wikipedia.org/wiki/Jan_Baz,Afghanistan
Ahmad Behzad,https://en.wikipedia.org/wiki/Ahmad_Behzad,Afghanistan
Bashir Ahmad Bezan,https://en.wikipedia.org/wiki/Bashir_Ahmad_Bezan,Afghanistan
Rafiullah Bidar,https://en.wikipedia.org/wiki/Rafiullah_Bidar,Afghanistan
Mohammad Siddiq Chakari,https://en.wikipedia.org/wiki/Mohammad_Siddiq_Chakari,Afghanistan
Cheragh Ali Cheragh,https://en.wikipedia.org/wiki/Cheragh_Ali_Cheragh,Afghanistan
Nasir Ahmad Durrani,https://en.wikipedia.org/wiki/Nasir_Ahmad_Durrani,Afghanistan
Elay Ershad,https://en.wikipedia.org/wiki/Elay_Ershad,Afghanistan
Muhammad Hashim Esmatullahi,https://en.wikipedia.org/wiki/Muhammad_Hashim_Esmatullahi,Afghanistan
Ezatullah (Nangarhar),https://en.wikipedia.org/wiki/Ezatullah_(Nangarhar),Afghanistan
Aimal Faizi,https://en.wikipedia.org/wiki/Aimal_Faizi,Afghanistan
Mohammad Nasim Faqiri,https://en.wikipedia.org/wiki/Mohammad_Nasim_Faqiri,Afghanistan
Mohammad Nazar Faqiri,https://en.wikipedia.org/wiki/Mohammad_Nazar_Faqiri,Afghanistan
Sharif Ghalib,https://en.wikipedia.org/wiki/Sharif_Ghalib,Afghanistan
Hashmat Ghani Ahmadzai,https://en.wikipedia.org/wiki/Hashmat_Ghani_Ahmadzai,Afghanistan
Abdul Ghani Ghani,https://en.wikipedia.org/wiki/Abdul_Ghani_Ghani,Afghanistan
Ashraf Ghani,https://en.wikipedia.org/wiki/Ashraf_Ghani,Afghanistan
Abdul Samad Ghaus,https://en.wikipedia.org/wiki/Abdul_Samad_Ghaus,Afghanistan
Ghulam Ghaus,https://en.wikipedia.org/wiki/Ghulam_Ghaus,Afghanistan
Ghulam Muhammad Ghobar,https://en.wikipedia.org/wiki/Ghulam_Muhammad_Ghobar,Afghanistan
Mohammad Gul (Helmand Council),https://en.wikipedia.org/wiki/Mohammad_Gul_(Helmand_Council),Afghanistan
Ghulam Haider Hamidi,https://en.wikipedia.org/wiki/Ghulam_Haider_Hamidi,Afghanistan
Rangina Hamidi,https://en.wikipedia.org/wiki/Rangina_Hamidi,Afghanistan
Abdul Malik Hamwar,https://en.wikipedia.org/wiki/Abdul_Malik_Hamwar,Afghanistan
Sayed Zafar Hashemi,https://en.wikipedia.org/wiki/Sayed_Zafar_Hashemi,Afghanistan
Qutbuddin Hilal,https://en.wikipedia.org/wiki/Qutbuddin_Hilal,Afghanistan
Shahnaz Himmeti,https://en.wikipedia.org/wiki/Shahnaz_Himmeti,Afghanistan
Anarkali Kaur Honaryar,https://en.wikipedia.org/wiki/Anarkali_Kaur_Honaryar,Afghanistan
Mahboba Hoqomal,https://en.wikipedia.org/wiki/Mahboba_Hoqomal,Afghanistan
Musa Hotak,https://en.wikipedia.org/wiki/Musa_Hotak,Afghanistan
Mirza Muhammad Ismail,https://en.wikipedia.org/wiki/Mirza_Muhammad_Ismail,Afghanistan
Sayed Jalal,https://en.wikipedia.org/wiki/Sayed_Jalal,Afghanistan
Said Tayeb Jawad,https://en.wikipedia.org/wiki/Said_Tayeb_Jawad,Afghanistan
Faizullah Kakar,https://en.wikipedia.org/wiki/Faizullah_Kakar,Afghanistan
Amin Karim,https://en.wikipedia.org/wiki/Amin_Karim,Afghanistan
Sayed Jalal Karim,https://en.wikipedia.org/wiki/Sayed_Jalal_Karim,Afghanistan
Ahmed Wali Karzai,https://en.wikipedia.org/wiki/Ahmed_Wali_Karzai,Afghanistan
Khadija Zahra Ahmadi,https://en.wikipedia.org/wiki/Khadija_Zahra_Ahmadi,Afghanistan
Hafizullah Shabaz Khail,https://en.wikipedia.org/wiki/Hafizullah_Shabaz_Khail,Afghanistan
Rouh Gul Khairzad,https://en.wikipedia.org/wiki/Rouh_Gul_Khairzad,Afghanistan
Masoud Khalili,https://en.wikipedia.org/wiki/Masoud_Khalili,Afghanistan
Mohammad Khan (athlete),https://en.wikipedia.org/wiki/Mohammad_Khan_(athlete),Afghanistan
Samoud Khan,https://en.wikipedia.org/wiki/Samoud_Khan,Afghanistan
Farzana Kochai,https://en.wikipedia.org/wiki/Farzana_Kochai,Afghanistan
Farida Kuchi,https://en.wikipedia.org/wiki/Farida_Kuchi,Afghanistan
Baran Khan Kudezai,https://en.wikipedia.org/wiki/Baran_Khan_Kudezai,Afghanistan
Azizullah Lodin,https://en.wikipedia.org/wiki/Azizullah_Lodin,Afghanistan
