,article_title,revision_id,article_quality,country,population,region,region_population
0,Shahjahan Noori,1099689043.0,GA,Afghanistan,41.1,SOUTH ASIA,2008.0
1,Abdul Ghafar Lakanwal,943562276.0,Start,Afghanistan,41.1,SOUTH ASIA,2008.0
2,Majah Ha Adrif,852404094.0,Start,Afghanistan,41.1,SOUTH ASIA,2008.0
3,Haroon al-Afghani,1095102390.0,B,Afghanistan,41.1,SOUTH ASIA,2008.0
4,Tayyab Agha,1104998382.0,Start,Afghanistan,41.1,SOUTH ASIA,2008.0
5,Ahmadullah Wasiq,1109361754.0,Start,Afghanistan,41.1,SOUTH ASIA,2008.0
6,Aziza Ahmadyar,1087211008.0,Start,Afghanistan,41.1,SOUTH ASIA,2008.0
7,Muqadasa Ahmadzai,1082489593.0,Start,Afghanistan,41.1,SOUTH ASIA,2008.0
8,Mohammad Sarwar Ahmedzai,1038918070.0,Start,Afghanistan,41.1,SOUTH ASIA,2008.0
9,Amir Muhammad Akhundzada,1069322182.0,Start,Afghanistan,41.1,SOUTH ASIA,2008.0
10,Nasrullah Baryalai Arsalai,1095526840.0,Start,Afghanistan,41.1,SOUTH ASIA,2008.0
11,Mohammad Asim Asim,1013838830.0,Stub,Afghanistan,41.1,SOUTH ASIA,2008.0
12,Atiqullah Atifmal,1112407669.0,Start,Afghanistan,41.1,SOUTH ASIA,2008.0
13,Abdul Rahim Ayoubi,1108886061.0,Start,Afghanistan,41.1,SOUTH ASIA,2008.0
14,Alhaj Mutalib Baig,1111494041.0,Start,Afghanistan,41.1,SOUTH ASIA,2008.0
15,Ismael Balkhi,1112534409.0,Start,Afghanistan,41.1,SOUTH ASIA,2008.0
16,Abdul Baqi Turkistani,889226470.0,Stub,Afghanistan,41.1,SOUTH ASIA,2008.0
17,Mohammad Ghous Bashiri,1102150221.0,Start,Afghanistan,41.1,SOUTH ASIA,2008.0
18,Abas Basir,1098419766.0,C,Afghanistan,41.1,SOUTH ASIA,2008.0
19,Jan Baz,997027082.0,Stub,Afghanistan,41.1,SOUTH ASIA,2008.0
20,Ahmad Behzad,1103948295.0,Start,Afghanistan,41.1,SOUTH ASIA,2008.0
21,Bashir Ahmad Bezan,1060707209.0,Start,Afghanistan,41.1,SOUTH ASIA,2008.0
22,Rafiullah Bidar,977208323.0,Stub,Afghanistan,41.1,SOUTH ASIA,2008.0
23,Mohammad Siddiq Chakari,1105913099.0,Stub,Afghanistan,41.1,SOUTH ASIA,2008.0
24,Cheragh Ali Cheragh,1087211968.0,Start,Afghanistan,41.1,SOUTH ASIA,2008.0
25,Nasir Ahmad Durrani,988838315.0,Stub,Afghanistan,41.1,SOUTH ASIA,2008.0
26,Elay Ershad,1102489654.0,Stub,Afghanistan,41.1,SOUTH ASIA,2008.0
27,Muhammad Hashim Esmatullahi,949986748.0,Stub,Afghanistan,41.1,SOUTH ASIA,2008.0
28,Ezatullah (Nangarhar),947885788.0,Stub,Afghanistan,41.1,SOUTH ASIA,2008.0
29,Aimal Faizi,1033383351.0,Stub,Afghanistan,41.1,SOUTH ASIA,2008.0
30,Mohammad Nasim Faqiri,1098051193.0,Start,Afghanistan,41.1,SOUTH ASIA,2008.0
31,Mohammad Nazar Faqiri,1095525798.0,Stub,Afghanistan,41.1,SOUTH ASIA,2008.0
32,Sharif Ghalib,1041460606.0,B,Afghanistan,41.1,SOUTH ASIA,2008.0
33,Hashmat Ghani Ahmadzai,1112933356.0,C,Afghanistan,41.1,SOUTH ASIA,2008.0
34,Abdul Ghani Ghani,1072441893.0,Stub,Afghanistan,41.1,SOUTH ASIA,2008.0
35,Ashraf Ghani,1113195582.0,B,Afghanistan,41.1,SOUTH ASIA,2008.0
36,Abdul Samad Ghaus,1072271854.0,Stub,Afghanistan,41.1,SOUTH ASIA,2008.0
37,Ghulam Ghaus,1109361872.0,Stub,Afghanistan,41.1,SOUTH ASIA,2008.0
38,Ghulam Muhammad Ghobar,1108886395.0,Stub,Afghanistan,41.1,SOUTH ASIA,2008.0
39,Mohammad Gul (Helmand Council),1092523687.0,Stub,Afghanistan,41.1,SOUTH ASIA,2008.0
40,Ghulam Haider Hamidi,1095018556.0,Start,Afghanistan,41.1,SOUTH ASIA,2008.0
41,Rangina Hamidi,1104280812.0,C,Afghanistan,41.1,SOUTH ASIA,2008.0
42,Abdul Malik Hamwar,1100874645.0,Stub,Afghanistan,41.1,SOUTH ASIA,2008.0
